ticker,code,name_ko,name_en,market,exchange,country,currency,tradable
005930.KS,005930,삼성전자,Samsung Electronics,KOSPI,KRX,KR,KRW,1
000660.KS,000660,SK하이닉스,SK hynix,KOSPI,KRX,KR,KRW,1
402340.KS,402340,SK스퀘어,SK Square,KOSPI,KRX,KR,KRW,1
009150.KS,009150,삼성전기,Samsung Electro-Mechanics,KOSPI,KRX,KR,KRW,1
373220.KS,373220,LG에너지솔루션,LG Energy Solution,KOSPI,KRX,KR,KRW,1
005380.KS,005380,현대차,Hyundai Motor,KOSPI,KRX,KR,KRW,1
207940.KS,207940,삼성바이오로직스,Samsung Biologics,KOSPI,KRX,KR,KRW,1
105560.KS,105560,KB금융,KB Financial Group,KOSPI,KRX,KR,KRW,1
028260.KS,028260,삼성물산,Samsung C&T,KOSPI,KRX,KR,KRW,1
012450.KS,012450,한화에어로스페이스,Hanwha Aerospace,KOSPI,KRX,KR,KRW,1
034020.KS,034020,두산에너빌리티,Doosan Enerbility,KOSPI,KRX,KR,KRW,1
055550.KS,055550,신한지주,Shinhan Financial Group,KOSPI,KRX,KR,KRW,1
032830.KS,032830,삼성생명,Samsung Life Insurance,KOSPI,KRX,KR,KRW,1
329180.KS,329180,HD현대중공업,HD Hyundai Heavy Industries,KOSPI,KRX,KR,KRW,1
000270.KS,000270,기아,Kia,KOSPI,KRX,KR,KRW,1
006400.KS,006400,삼성SDI,Samsung SDI,KOSPI,KRX,KR,KRW,1
068270.KS,068270,셀트리온,Celltrion,KOSPI,KRX,KR,KRW,1
086790.KS,086790,하나금융지주,Hana Financial Group,KOSPI,KRX,KR,KRW,1
012330.KS,012330,현대모비스,Hyundai Mobis,KOSPI,KRX,KR,KRW,1
066570.KS,066570,LG전자,LG Electronics,KOSPI,KRX,KR,KRW,1
010120.KS,010120,LS ELECTRIC,LS Electric,KOSPI,KRX,KR,KRW,1
034730.KS,034730,SK,SK Inc.,KOSPI,KRX,KR,KRW,1
035420.KS,035420,NAVER,NAVER,KOSPI,KRX,KR,KRW,1
298040.KS,298040,효성중공업,Hyosung Heavy Industries,KOSPI,KRX,KR,KRW,1
006800.KS,006800,미래에셋증권,Mirae Asset Securities,KOSPI,KRX,KR,KRW,1
009540.KS,009540,HD한국조선해양,HD Korea Shipbuilding & Offshore Engineering,KOSPI,KRX,KR,KRW,1
042700.KS,042700,한미반도체,Hanmi Semiconductor,KOSPI,KRX,KR,KRW,1
010130.KS,010130,고려아연,Korea Zinc,KOSPI,KRX,KR,KRW,1
051910.KS,051910,LG화학,LG Chem,KOSPI,KRX,KR,KRW,1
015760.KS,015760,한국전력,KEPCO,KOSPI,KRX,KR,KRW,1
010140.KS,010140,삼성중공업,Samsung Heavy Industries,KOSPI,KRX,KR,KRW,1
000150.KS,000150,두산,Doosan,KOSPI,KRX,KR,KRW,1
316140.KS,316140,우리금융지주,Woori Financial Group,KOSPI,KRX,KR,KRW,1
000810.KS,000810,삼성화재,Samsung Fire & Marine Insurance,KOSPI,KRX,KR,KRW,1
017670.KS,017670,SK텔레콤,SK Telecom,KOSPI,KRX,KR,KRW,1
064350.KS,064350,현대로템,Hyundai Rotem,KOSPI,KRX,KR,KRW,1
096770.KS,096770,SK이노베이션,SK Innovation,KOSPI,KRX,KR,KRW,1
003670.KS,003670,포스코퓨처엠,POSCO Future M,KOSPI,KRX,KR,KRW,1
272210.KS,272210,한화시스템,Hanwha Systems,KOSPI,KRX,KR,KRW,1
267260.KS,267260,HD현대일렉트릭,HD Hyundai Electric,KOSPI,KRX,KR,KRW,1
042660.KS,042660,한화오션,Hanwha Ocean,KOSPI,KRX,KR,KRW,1
005490.KS,005490,POSCO홀딩스,POSCO Holdings,KOSPI,KRX,KR,KRW,1
035720.KS,035720,카카오,Kakao,KOSPI,KRX,KR,KRW,1
138040.KS,138040,메리츠금융지주,Meritz Financial Group,KOSPI,KRX,KR,KRW,1
011200.KS,011200,HMM,HMM,KOSPI,KRX,KR,KRW,1
259960.KS,259960,크래프톤,Krafton,KOSPI,KRX,KR,KRW,1
033780.KS,033780,KT&G,KT&G,KOSPI,KRX,KR,KRW,1
024110.KS,024110,기업은행,Industrial Bank of Korea,KOSPI,KRX,KR,KRW,1
030200.KS,030200,KT,KT,KOSPI,KRX,KR,KRW,1
003550.KS,003550,LG,LG Corp.,KOSPI,KRX,KR,KRW,1
018260.KS,018260,삼성에스디에스,Samsung SDS,KOSPI,KRX,KR,KRW,1
323410.KS,323410,카카오뱅크,KakaoBank,KOSPI,KRX,KR,KRW,1
352820.KS,352820,하이브,HYBE,KOSPI,KRX,KR,KRW,1
047810.KS,047810,한국항공우주,Korea Aerospace Industries,KOSPI,KRX,KR,KRW,1
079550.KS,079550,LIG넥스원,LIG Nex1,KOSPI,KRX,KR,KRW,1
086280.KS,086280,현대글로비스,Hyundai Glovis,KOSPI,KRX,KR,KRW,1
003490.KS,003490,대한항공,Korean Air,KOSPI,KRX,KR,KRW,1
090430.KS,090430,아모레퍼시픽,Amorepacific,KOSPI,KRX,KR,KRW,1
267250.KS,267250,HD현대,HD Hyundai,KOSPI,KRX,KR,KRW,1
000100.KS,000100,유한양행,Yuhan,KOSPI,KRX,KR,KRW,1
047050.KS,047050,포스코인터내셔널,POSCO International,KOSPI,KRX,KR,KRW,1
005830.KS,005830,DB손해보험,DB Insurance,KOSPI,KRX,KR,KRW,1
005940.KS,005940,NH투자증권,NH Investment & Securities,KOSPI,KRX,KR,KRW,1
071050.KS,071050,한국금융지주,Korea Investment Holdings,KOSPI,KRX,KR,KRW,1
003230.KS,003230,삼양식품,Samyang Foods,KOSPI,KRX,KR,KRW,1
377300.KS,377300,카카오페이,Kakao Pay,KOSPI,KRX,KR,KRW,1
000720.KS,000720,현대건설,Hyundai E&C,KOSPI,KRX,KR,KRW,1
010950.KS,010950,S-Oil,S-Oil,KOSPI,KRX,KR,KRW,1
032640.KS,032640,LG유플러스,LG Uplus,KOSPI,KRX,KR,KRW,1
251270.KS,251270,넷마블,Netmarble,KOSPI,KRX,KR,KRW,1
180640.KS,180640,한진칼,Hanjin KAL,KOSPI,KRX,KR,KRW,1
021240.KS,021240,코웨이,Coway,KOSPI,KRX,KR,KRW,1
006260.KS,006260,LS,LS Corp.,KOSPI,KRX,KR,KRW,1
326030.KS,326030,SK바이오팜,SK Biopharmaceuticals,KOSPI,KRX,KR,KRW,1
000880.KS,000880,한화,Hanwha Corp.,KOSPI,KRX,KR,KRW,1
001040.KS,001040,CJ,CJ Corp.,KOSPI,KRX,KR,KRW,1
271560.KS,271560,오리온,Orion,KOSPI,KRX,KR,KRW,1
